Piece|Cleffing|Key signature|Final|Meter|Length(in breves)|Number of poetic lines|Poetic form
1-2|C1,C3,C3,C4,F4 (low)|&flat;|G|&#119092;|46 (24+22)|14(8+6)|sonnet
3|C1,C3,C4,C4,F4 (low)|&flat;|A|&#119092;|30|8|sonnet
4|C1,C3,C4,C4,F4 (low)|&flat;|D|&#119092;|27|6|sonnet
5|C1,C3,C4,C4,F4 (low)|&flat;|F|&#119092;|37|7|madrigal
6|C1,C3,C4,C4,F4 (low)|&flat;|F|&#119092;|25|7|madrigal
7|C1,C1,C3,C4,F4 (low)|&flat;|F|&#119092;|39|8|ottava rima
8|G2,G2,C1,C3,F3 (high)|&mdash;|C|&#119092;|22|7|madrigal
9|G2,C1,C3,C3,F3 (high)|&mdash;|G|&#119092;|45|9|madrigal
10|G2,C1,C3,C3,C4 (high)|&mdash;|D|&#119092;|28|8|madrigal
11|G2,C2,C3,C3,F3 (high)|&flat;|D|&#119092;|29|11|madrigal
12|G2,C2,C3,C3,F3 (high)|&flat;|G|&#119092;|38|9|madrigal
13|G2,G2,C2,C3,C4 (high)|&flat;|G|&#119092;|31|10|madrigal
14|C1,C3,C4,C4,F4 (low)|&mdash;|D|&#119092;|39|6|madrigal
15|G2,C2,C2,C3,F3 (high)|&flat;|F|&#119092;|39|7|madrigal
16|G2,G2,C2,C3,F3 (high)|&flat;|F|&#119092;|31|9|madrigal
17-18|C1,C1,C3,C4,F4 (low)|&mdash;|C|&#119092;|52 (19+33)|13 (4+9)|madrigal
19-20|G2,C1,C2,C3,F3 (high)|&mdash;|A|&#119092;|64 (27+37)|20 (8+12)|madrigal
21|C1,C3,C4,C4,F4 (low)|&mdash;|A|&#119093;|84|10|madrigal
